,Connection Date,HOST TO,Connection Cap (MW),Project Name,Plant Type,MW Change
0,2019-09-06,NGET,30.0,1,1,17.0
1,2020-10-01,NGET,380.0,1,1,380.0
2,2022-02-15,SHET,10.0,1,1,10.0
3,2022-02-21,SHET,75.0,2,1,75.0
4,2022-04-01,SHET,600.0,1,1,590.0
5,2022-07-01,SHET,1075.0,1,1,475.0
6,2022-09-25,NGET,49.9,1,1,49.9
7,2022-10-30,NGET,49.9,1,1,49.9
8,2022-10-31,NGET,99.8,2,1,99.8
9,2022-11-25,SPT,42.64,1,1,42.64
10,2022-12-30,NGET,11.58,1,1,11.58
11,2023-01-12,NGET,99.8,1,1,99.8
12,2023-01-31,NGET,49.5,1,1,49.5
13,2023-02-15,NGET,49.5,1,1,49.5
14,2023-03-01,NGET,20.0,1,1,20.0
15,2023-03-07,NGET,99.0,2,1,99.0
16,2023-03-31,SPT,238.0,1,1,32.0
17,2023-04-01,NGET,1200.0,1,1,1200.0
18,2023-05-01,NGET,49.9,1,1,49.9
19,2023-05-30,SPT,69.0,1,1,69.0
20,2023-05-31,NGET,49.5,1,1,49.5
21,2023-06-01,SPT,448.0,1,1,448.0
22,2023-06-30,NGET,148.99,3,2,148.99
23,2023-07-28,SPT,49.99,1,1,49.99
24,2023-07-31,NGET,49.9,1,1,49.9
25,2023-07-31,SHET,40.0,1,1,40.0
26,2023-08-02,SPT,50.0,1,1,50.0
27,2023-08-15,NGET,49.9,1,1,49.9
28,2023-08-15,SPT,50.0,1,1,50.0
29,2023-08-31,NGET,57.0,1,1,57.0
30,2023-09-29,NGET,1268.0,1,1,50.0
31,2023-09-30,NGET,449.0,2,2,449.0
32,2023-09-30,SPT,48.0,1,1,48.0
33,2023-10-30,NGET,49.99,1,1,49.99
34,2023-10-30,SPT,40.0,1,1,40.0
35,2023-10-31,NGET,441.8,8,2,342.0
36,2023-10-31,SHET,37.5,2,2,37.5
37,2023-11-01,NGET,106.9,2,1,106.9
38,2023-11-10,NGET,39.9,1,1,39.9
39,2024-02-01,SHET,200.0,1,1,200.0
40,2024-03-22,NGET,350.0,1,1,350.0
41,2024-03-29,NGET,99.9,1,1,99.9
42,2024-03-29,SHET,20.622,1,1,20.622
43,2024-03-29,SPT,0.0,1,1,0.0
44,2024-03-31,SHET,36.0,2,2,36.0
45,2024-04-01,NGET,1362.0,2,2,1362.0
46,2024-04-01,SHET,800.0,1,1,800.0
47,2024-04-12,SPT,800.0,5,3,800.0
48,2024-04-25,NGET,49.995,1,1,49.995
49,2024-04-30,SHET,106.0,1,1,106.0
50,2024-04-30,SPT,512.0,3,2,512.0
51,2024-05-01,NGET,163.5,3,3,163.5
52,2024-05-30,NGET,357.0,2,1,357.0
53,2024-05-30,SPT,84.0,2,1,84.0
54,2024-05-31,SHET,48.0,2,2,48.0
55,2024-05-31,SPT,50.0,1,1,50.0
56,2024-06-07,NGET,37.5,1,1,37.5
57,2024-06-28,NGET,805.0,4,3,755.1
58,2024-06-28,SPT,57.0,1,1,57.0
59,2024-06-30,NGET,393.995,4,2,393.995
60,2024-06-30,SHET,65.99000000000001,2,1,65.99000000000001
61,2024-06-30,SPT,252.2,4,1,147.2
62,2024-07-01,NGET,49.9,1,1,49.9
63,2024-07-01,SHET,443.0,1,1,443.0
64,2024-07-30,NGET,97.4,2,2,97.4
65,2024-07-30,SPT,284.6,2,2,284.6
66,2024-07-31,SPT,0.0,1,1,0.0
67,2024-08-01,SPT,89.0,1,1,89.0
68,2024-08-30,NGET,57.0,1,1,57.0
69,2024-08-31,NGET,69.0,2,2,69.0
